MonitorId	OwningTenantName	Severity	count_
InterfaceDown_LowSeverity	Cloudnet	3	3740
IsVFPPresent	Cloudnet	3	3651
CLP V2 Workflow Success Rates	Office Client	3	3625
SR_FB_Prod_OperationHealth_SPFileSync_Reliability_1	SharePoint SNAP	3	3610
F5_High_Link_Utilization_Sev2	Cloudnet	3	3497
UpgradeException	Windows Azure Operations Center	3	3450
ErrorLoadVXNS	Xstore	3	3439
Pool Health	Azure Managed HSM	3	3409
Equivio_TaskServiceWebRole_KeepAliveRoleDead_Can't connect Task 	EOP	3	3393
DCOT-HeartbeatLost TooLow-Instance IS lsass	Skype For Business	3	3367
Advanced Threat Protection_AtpCpSubmitReputationFailureMonitor_L	EOP	3	3313
dc867f5c-e3d3-4d47-9dc2-222b746a3f5f	SharePointOnlineCentral	3	3304
FortKnoxPerfDegraded	Azure Hardware Datacenter Manager	3	3302
InterfaceDown_HighSeverity	Cloudnet	3	3203
ExceptionRateCounter	Microsoft Bing for Commerce	3	3181
HANonUrgent_ClusterEndpointMonitor_LocalActiveMonitoring	Exchange	3	3163
NmAgentRegistryFailure	Cloudnet	3	3001
OWA Framework_OWSAvailability_O365 Passive MDM	Outlook	3	2993
PutVMAgentLog (Cluster)	AzureRT	3	2959
Infrastructure_DataBaseAccessibilityMonitor_LocalActiveMonitorin	EOP	3	2928
HANonUrgent_FolderQuotaUsageMonitor_LocalActiveMonitoring	Exchange	3	2913
Microsoft.LS.2015.Monitoring.UnitMonitor.TimerResetEvent.CloudPs	Skype For Business	3	2909
SR_FB_Prod_OperationHealth_SPFileSync_Reliability_1	SharePointOnlineCentral	3	2876
RDMA_CRC_ERRORS	Xstore	3	2867
SR_FB_Prod_OperationHealth_REST_Reliability_1	SharePoint SNAP	3	2755
UcsFlowControlMonitor	Azure SQL DB	3	2642
ScheduledBackupUnhealthy	Backup (MAB)	3	2623
Arista_SyslogTemp	Cloudnet	3	2596
HighProcessorTimePercentByInstanceSosRolePublic	Azure Monitor Essentials	3	2508
CPU consumption is exceeded limits	Cloudnet	3	2504
Monitoring - LAM, XAM, Passive_PassiveMonitoringGenevaMonitor_Lo	Exchange	3	2501
Advanced Threat Protection_AtpCustomPipelineMsgProcessingFailure	EOP	3	2486
Infrastructure_DatabaseOffline_Mtrt_Responder_LocalActiveMonitor	EOP	3	2431
NextReachedPreallocatedTimestamp	Xstore	3	2418
MRM/Archive_NumberOfFailuresPerHourMonitor_LocalActiveMonitoring	Exchange	3	2416
AzSecffxstgausgsynaltusgovmns	Azure Security Monitoring (ASM SLAM)	3	2346
Directory_MapiAddressBookAppPoolMonitor_LocalActiveMonitoring	Exchange	3	2343
Infrastructure_DatabaseOffline_DataInsights_Responder_LocalActiv	EOP	3	2340
AzSecffxstgausgsynaltusgovmns	CE Security Service Operations Center	3	2328
Smoke Test Failure	Xstore	3	2293
d9d78d0b43a6405ea1861d6e46ba4503	Payment Services - ICM Tenant	3	2268
High or low ODS Processing duration	Azure Workload Monitor	3	2267
Directory_ReplicationKccInsufficientInfoMonitor_LocalActiveMonit	Exchange	3	2236
CPUExceedsThreshold_5min	Conversation	3	2224
Directory and Database Infrastructure_FfoProvisioning.EOPInstant	EOP	3	2191
[PROD] Time between Evaluations	Dynamics 365 - Marketing	3	2167
OWAPassiveMonitorTeam_OWSAvailability_O365 Passive MDM	Outlook	3	2161
Intelligence and Reporting_BJM.DataPump.Monitor_LocalActiveMonit	EOP	3	2145
Intelligence and Reporting_Webstore.Excessive.MaxRetry.Mtrt.Moni	EOP	3	2127
SR_FB_Prod_ComponentHealth_Vroom20_Reliability_1	SharePointOnlineCentral	3	2122
En Capacity Alert	Xstore	3	2024
uber_ha	Cloudyn	3	2020
